id,formula,calculated,created
1,,-1111111.0,2023-08-16 23:45:03
2,,-1111111.0,2023-08-16 23:45:11
3,,0.0,2023-08-16 23:45:19
4,,-8.0,2023-08-16 23:45:27
5,,1.0,2023-08-16 23:45:35
6,,-11.0,2023-08-16 23:45:43
7,,-2.0,2023-08-16 23:45:51
8,,-2.0,2023-08-16 23:45:59
9,,-1111111.0,2023-08-16 23:46:07
10,,3.0,2023-08-16 23:46:15
11,,-1.0,2023-08-16 23:46:23
12,,-11.0,2023-08-16 23:46:31
13,,-6.0,2023-08-16 23:46:39
14,,-3.0,2023-08-16 23:46:47
15,,1.0,2023-08-16 23:46:55
16,,6.0,2023-08-16 23:47:03
17,,-5.0,2023-08-16 23:47:11
18,,-5.0,2023-08-16 23:47:19
