id,formula_cal_id,source,val_pos,value,created,status
1,1,i,2,10.0,2023-08-25 14:59:40,1
2,1,e,4,11.0,2023-08-25 14:59:40,1
3,1,e,6,9.0,2023-08-25 14:59:40,1
4,2,i,2,11.0,2023-08-25 14:59:49,1
5,2,e,4,11.0,2023-08-25 14:59:49,1
6,2,e,6,9.0,2023-08-25 14:59:49,1
7,3,i,2,10.0,2023-08-25 14:59:59,1
8,3,e,4,9.0,2023-08-25 14:59:59,1
9,3,e,6,11.0,2023-08-25 14:59:59,1
10,4,i,2,9.0,2023-08-25 15:00:09,1
11,4,e,4,9.0,2023-08-25 15:00:09,1
12,4,e,6,10.0,2023-08-25 15:00:09,1
13,5,i,2,7.0,2023-08-25 15:00:19,1
14,5,e,4,11.0,2023-08-25 15:00:19,1
15,5,e,6,10.0,2023-08-25 15:00:19,1
16,6,i,2,11.0,2023-08-25 15:00:29,1
17,6,e,4,13.0,2023-08-25 15:00:29,1
18,6,e,6,9.0,2023-08-25 15:00:29,1
19,7,i,2,14.0,2023-08-25 15:00:39,1
20,7,e,4,10.0,2023-08-25 15:00:39,1
21,7,e,6,10.0,2023-08-25 15:00:39,1
22,8,i,2,13.0,2023-08-25 15:00:49,1
23,8,e,4,9.0,2023-08-25 15:00:49,1
24,8,e,6,9.0,2023-08-25 15:00:49,1
25,9,i,2,11.0,2023-08-25 15:01:00,1
26,9,e,4,9.0,2023-08-25 15:01:00,1
27,9,e,6,10.0,2023-08-25 15:01:00,1
28,10,i,2,8.0,2023-08-25 15:01:09,1
29,10,e,4,11.0,2023-08-25 15:01:09,1
30,10,e,6,9.0,2023-08-25 15:01:09,1
31,11,i,2,11.0,2023-08-25 15:01:20,1
32,11,e,4,9.0,2023-08-25 15:01:20,1
33,11,e,6,9.0,2023-08-25 15:01:20,1
34,12,i,2,9.0,2023-08-25 15:01:29,1
35,12,e,4,9.0,2023-08-25 15:01:29,1
36,12,e,6,9.0,2023-08-25 15:01:29,1
37,13,i,2,10.0,2023-08-25 15:01:39,1
38,13,e,4,9.0,2023-08-25 15:01:39,1
39,13,e,6,9.0,2023-08-25 15:01:39,1
40,14,i,2,10.0,2023-08-25 15:01:49,1
41,14,e,4,9.0,2023-08-25 15:01:49,1
42,14,e,6,10.0,2023-08-25 15:01:49,1
43,15,i,2,9.0,2023-08-25 15:02:00,1
44,15,e,4,9.0,2023-08-25 15:02:00,1
45,15,e,6,9.0,2023-08-25 15:02:00,1
